year,community_area,primary_type,count
2001,23,OFFENSE INVOLVING CHILDREN,18
2001,23,CRIMINAL DAMAGE,10
2001,23,NARCOTICS,29
2001,23,OTHER OFFENSE,6
2001,23,HOMICIDE,32
2001,23,THEFT,54
2001,23,SEX OFFENSE,7
2001,23,WEAPONS VIOLATION,2
2001,23,ASSAULT,7
2001,23,BATTERY,33
2001,23,MOTOR VEHICLE THEFT,19
2001,23,GAMBLING,1
2001,24,SEX OFFENSE,3
2001,24,DECEPTIVE PRACTICE,16
2001,24,OTHER OFFENSE,4
2001,24,CRIMINAL DAMAGE,1
2001,24,CRIM SEXUAL ASSAULT,3
2001,24,BURGLARY,1
2001,24,CRIMINAL SEXUAL ASSAULT,2
2001,24,OFFENSE INVOLVING CHILDREN,6
2001,24,NARCOTICS,1
2001,24,MOTOR VEHICLE THEFT,29
2001,24,HOMICIDE,19
2001,24,THEFT,33
2001,24,ARSON,1
2001,24,BATTERY,4
2001,24,PROSTITUTION,1
2001,24,GAMBLING,1
2001,24,ASSAULT,2
2001,25,ASSAULT,6
2001,25,CRIMINAL DAMAGE,4
2001,25,DECEPTIVE PRACTICE,18
2001,25,HOMICIDE,44
2001,25,SEX OFFENSE,7
2001,25,THEFT,65
2001,25,BATTERY,15
2001,25,INTIMIDATION,1
2001,25,MOTOR VEHICLE THEFT,50
2001,25,OTHER OFFENSE,18
2001,25,CRIM SEXUAL ASSAULT,12
2001,25,ROBBERY,2
2001,25,BURGLARY,1
2001,25,OFFENSE INVOLVING CHILDREN,18
2001,25,NARCOTICS,32
2001,26,BATTERY,12
2001,26,THEFT,13
2001,26,DECEPTIVE PRACTICE,5
2001,26,ROBBERY,3
2001,26,GAMBLING,1
2001,26,MOTOR VEHICLE THEFT,9
2001,26,WEAPONS VIOLATION,1
2001,26,OTHER OFFENSE,5
2001,26,NARCOTICS,24
2001,26,ASSAULT,3
2001,26,CRIMINAL DAMAGE,8
2001,26,PROSTITUTION,2
2001,26,ARSON,2
2001,26,HOMICIDE,16
2001,26,CRIM SEXUAL ASSAULT,2
2001,26,CRIMINAL TRESPASS,1
2001,26,BURGLARY,2
2001,26,OFFENSE INVOLVING CHILDREN,2
2001,27,ASSAULT,10
2001,27,DECEPTIVE PRACTICE,8
2001,27,HOMICIDE,12
2001,27,SEX OFFENSE,1
2001,27,MOTOR VEHICLE THEFT,9
2001,27,CRIM SEXUAL ASSAULT,3
2001,27,GAMBLING,1
2001,27,CRIMINAL DAMAGE,6
2001,27,OTHER OFFENSE,5
2001,27,THEFT,21
2001,27,OFFENSE INVOLVING CHILDREN,8
2001,27,BATTERY,13
2001,27,NARCOTICS,19
2001,27,WEAPONS VIOLATION,1
2001,27,ROBBERY,3
2001,28,THEFT,31
2001,28,OTHER OFFENSE,3
2001,28,ROBBERY,4
2001,28,HOMICIDE,9
2001,28,DECEPTIVE PRACTICE,11
2001,28,BATTERY,5
2001,28,OFFENSE INVOLVING CHILDREN,1
2001,28,PROSTITUTION,1
2001,28,INTERFERENCE WITH PUBLIC OFFICER,1
2001,28,SEX OFFENSE,8
2001,28,CRIM SEXUAL ASSAULT,1
2001,28,MOTOR VEHICLE THEFT,23
2001,28,CRIMINAL DAMAGE,4
2001,28,BURGLARY,3
2001,28,WEAPONS VIOLATION,3
2001,29,NARCOTICS,2
2001,29,CRIMINAL TRESPASS,3
2001,29,BATTERY,12
2001,29,CRIMINAL DAMAGE,5
2001,29,ASSAULT,1
2001,29,DECEPTIVE PRACTICE,7
2001,29,OFFENSE INVOLVING CHILDREN,4
2001,29,SEX OFFENSE,40
2001,29,MOTOR VEHICLE THEFT,12
2001,29,OTHER OFFENSE,1
2001,29,THEFT,45
2001,29,WEAPONS VIOLATION,1
2001,29,CRIM SEXUAL ASSAULT,7
2001,29,HOMICIDE,13
2001,29,ROBBERY,1
2001,30,SEX OFFENSE,8
2001,30,ASSAULT,2
2001,30,DECEPTIVE PRACTICE,3
2001,30,HOMICIDE,16
2001,30,OFFENSE INVOLVING CHILDREN,10
2001,30,OTHER OFFENSE,3
2001,30,BURGLARY,1
2001,30,BATTERY,1
2001,30,CRIM SEXUAL ASSAULT,1
2001,30,LIQUOR LAW VIOLATION,1
2001,30,THEFT,19
2001,30,CRIMINAL TRESPASS,1
2001,30,MOTOR VEHICLE THEFT,13
2001,30,ROBBERY,1
2001,30,CRIMINAL DAMAGE,1
2001,31,SEX OFFENSE,3
2001,31,MOTOR VEHICLE THEFT,8
2001,31,DECEPTIVE PRACTICE,4
2001,31,BATTERY,3
2001,31,OFFENSE INVOLVING CHILDREN,3
2001,31,CRIM SEXUAL ASSAULT,1
2001,31,BURGLARY,2
2001,31,THEFT,12
2001,31,PUBLIC PEACE VIOLATION,1
2001,31,NARCOTICS,1
2001,31,CRIMINAL TRESPASS,1
2001,31,OTHER OFFENSE,1
2001,31,HOMICIDE,8
2001,32,CRIM SEXUAL ASSAULT,1
2001,32,ROBBERY,1
2001,32,BATTERY,3
2001,32,OFFENSE INVOLVING CHILDREN,1
2001,32,HOMICIDE,1
2001,32,NARCOTICS,1
2001,32,OTHER OFFENSE,4
2001,32,THEFT,27
2001,32,LIQUOR LAW VIOLATION,1
2001,32,ASSAULT,1
2001,32,DECEPTIVE PRACTICE,40
2001,32,MOTOR VEHICLE THEFT,10
2001,33,BATTERY,6
2001,33,HOMICIDE,3
2001,33,CRIMINAL SEXUAL ASSAULT,1
2001,33,THEFT,12
2001,33,DECEPTIVE PRACTICE,6
2001,33,OTHER OFFENSE,1
2001,33,SEX OFFENSE,1
2001,33,MOTOR VEHICLE THEFT,6
2001,33,ROBBERY,1
2001,34,DECEPTIVE PRACTICE,3
2001,34,THEFT,8
2001,34,BATTERY,1
2001,34,MOTOR VEHICLE THEFT,4
2001,34,OTHER OFFENSE,1
2001,35,CRIMINAL SEXUAL ASSAULT,1
2001,35,WEAPONS VIOLATION,1
2001,35,SEX OFFENSE,1
2001,35,CRIMINAL DAMAGE,1
2001,35,OTHER OFFENSE,5
2001,35,DECEPTIVE PRACTICE,2
2001,35,CRIM SEXUAL ASSAULT,2
2001,35,THEFT,11
2001,35,BATTERY,3
2001,35,HOMICIDE,9
2001,35,MOTOR VEHICLE THEFT,6
2001,36,THEFT,4
2001,36,MOTOR VEHICLE THEFT,1
2001,36,DECEPTIVE PRACTICE,1
2001,36,OFFENSE INVOLVING CHILDREN,1
2001,36,OTHER OFFENSE,1
2001,36,HOMICIDE,1
2001,37,HOMICIDE,1
2001,37,MOTOR VEHICLE THEFT,4
2001,37,THEFT,2
2001,37,CRIMINAL TRESPASS,1
2001,38,OTHER OFFENSE,4
2001,38,PUBLIC PEACE VIOLATION,1
2001,38,CRIMINAL DAMAGE,2
2001,38,BATTERY,6
2001,38,HOMICIDE,15
2001,38,ROBBERY,1
2001,38,OFFENSE INVOLVING CHILDREN,3
2001,38,MOTOR VEHICLE THEFT,3
2001,38,THEFT,14
2001,38,SEX OFFENSE,1
2001,38,CRIM SEXUAL ASSAULT,1
2001,38,DECEPTIVE PRACTICE,7
2001,39,HOMICIDE,1
2001,39,THEFT,11
2001,39,OTHER OFFENSE,2
2001,39,OFFENSE INVOLVING CHILDREN,2
2001,39,MOTOR VEHICLE THEFT,6
2001,39,DECEPTIVE PRACTICE,3
2001,40,DECEPTIVE PRACTICE,2
2001,40,OTHER OFFENSE,1
2001,40,ROBBERY,1
2001,40,THEFT,7
2001,40,WEAPONS VIOLATION,1
2001,40,SEX OFFENSE,1
2001,40,OFFENSE INVOLVING CHILDREN,3
2001,40,MOTOR VEHICLE THEFT,5
2001,40,BATTERY,2
2001,40,HOMICIDE,5
2001,40,ASSAULT,1
2001,40,CRIM SEXUAL ASSAULT,3
2001,41,DECEPTIVE PRACTICE,3
2001,41,BURGLARY,1
2001,41,MOTOR VEHICLE THEFT,8
2001,41,ASSAULT,1
2001,41,SEX OFFENSE,1
2001,41,THEFT,17
2001,41,OTHER OFFENSE,2
2001,42,OTHER OFFENSE,1
2001,42,ASSAULT,1
